author,comment,replied_to
@katietaylor4630,Thanks for the detailed comment. I hope the country will find better leadership... obviously it doesn't usually work out that way.,@huytranvan2754
@xeoxoi8207,"Là người Việt Nam tôi không cần phải thay lãnh đạo. Hệ thống lãnh đạo đang làm rất tốt, chỉ cần cải thiện và chống tham nhũng tốt hơn là được. Không cần nền dân chủ cuội như các nước khác",@huytranvan2754
@thanhtrung14290,"Người nước ngoài thì toàn khen VN, còn ông thì chửi VN, mạnh mẽ tự tin lên nào chàng trai, đừng yếu nhược như thế, VN ta chả thua ai đâu",@huytranvan2754
@tvk9030,"đó là điều không cần thiết nếu bạn quá quang tâm chính trị bạn sẽ không giàu có hãy xem nó như một công ty lớn và nếu bạn giàu từ nó bạn có thể chọn công ty khác  .. thái lan  , indo , malay , nhật , hàn .... bạn sẽ có mọi thứ đừng đổ lỗi cho qúa khứ nữa hãy kiếm tiền",@huytranvan2754
@hieubui9542,"Ý bạn là tự nhiên có vốn đầu tư nước ngoài, giữa 20 nước có nền tảng thu nhập tương đương, tự nhiên Việt Nam trong top ưu tiên? Thành quả chính trị, kinh tế nằm ở đó đó, những người lãnh đạo, ngoại giao là những người bán hàng giỏi, họ lôi kéo được nhà đầu tư về Việt Nam, thì để họ có chút hoa hồng đi.  Đó là cơ chế thị trường đó, có làm mới có ăn. Bạn có đi làm không công không?",@huytranvan2754
@thethaovatoquoc312,"As long as Vietnam is still ruled by the oppressive and exploitive Communist regime, her potential remains greatly diminished. For any 1% that wants to stay, 99% of the population wants to get out, and many have risked their lives doing just that (for example, 39 doomed lives found in UK container truck recently on the news, and that's only what's been reported), unfortunately. Yet another shocking and also recent example is that during the Covid pandemic when almost all countries assisted their citizens with financial aids in one form or another, the corrupt and murderous Vietnamese Commie regime saw it just as another opportunity not to help but to exploit its ruled citizens even more, essentially making money over the corpses of its citizens by presumably killing at least 30-50K of them, due to grossly misdiagnoses and being thrown into barbwired unhygenic living quarters for isolation, so that they had to sleep on concrete floor, even next to filled trashcans, with inadequate toilet, food, water, or medicine, like animals (searching hard enough, one is able to see shocking video clips on Facebook though the regime tried hard to crack down the leaks by Vietnamese citizen journalists), with the fake nostril Covid test kits, mislabeled as approved by World Health Organization (WHO) in Việt Á scandal, colluded by at least 4 different government agencies (Y Tế , Khoa Học, Công Nghệ, Quân y) and the top Politburo members, including Nguyễn Phú Trọng, Phạm Minh Chính, Nguyễn Xuân Phúc. Murderous Vietnamese Commie regime even had a thug murdered Christian pastor Giuse Trần Ngọc Thanh, like it has done with many other pastors across the nation. There is a reason why the current Commie Vietnam ranks at the bottom of the world in freedom of speech, (true) freedom of religion, and freedom of the press, barely above Commie China and Commie North Korea. There is no true freedom of religion in Commie Vietnam, as this corrupt Vietnamese Commie regime only authorized the fake organizations headed by Commie monks, many of whom were Commie Party officials, and those religious organizations not approved to be infiltrated by them or headed by their Commie agents are accused of malicious and nonexistent crimes and banned, with innocent religious leaders arrested and jailed, as in the recent case with Thiền Am Bên Bờ Vũ Trụ, a harmless Buddhist meditation monastery, for simply having many followers (hence, more influences that the regime fears it can't control) than the Commie Party's officially approved ones. Similarly, its passport ranks at the bottom, 89th out of 111 countries for a reason, barely above North Korea 104th rank. even below many African nations. For comparison, South Korea is at 2nd rank. That's what Republic of South Vietnam would have likely been ranked among at least the top 10 had it not been invaded and occupied by the North Vietnamese Commie terrorists, aided by Commie Soviet and Commie China. Search ""cuop dat dan"" (meaning ""land-robbing of citizens"") to see millions of footages across the country from North to South, spanning for decades, dated back to Ho Chi Minh's bloody land reform 1953-1956 that killed nearly 1 million North Vietnamese in only 4 years, or 250K people brutally slaughtered in torturous painful deaths (like being shot, stabbed, mutilated while being alive, or heads being plowed over by water buffaloes while bodies being buried underground) each year on average to rob their lands and homes. Even today, if the rightful owners refuse to have their homes or lands robbed, the ruthless Vietnamese Commie terrorist regime simply jail or massacre them, have tractors run over their bodies or openly assassinate them in their own homes. When it comes to robbing, these barbarian Vietnamese Commie bandits even prey on each other, just as the recent case with then 84-year-old Mr. Lê Đình Kình, a 55-year-Commie Party veteran from Dong Tam, near Hanoi, that got shot dead at 3am in his own home by the Vietnamese Commie terrorist regime. When his wife Mrs. Dư Thị Thành refused to lie about the incident as ordered, the Vietnamese Commie terrorist police brutally tortured her (see more details from ""dandongtam"" on Facebook). The corrupt Vietnamese Commie government officials routinely dine on lavish gold-plated Salt Bae steak $100K per meal with blood money not just from taxpayers but also from robbed-lands and robbed homes recently drew international condemnations, while many Vietnamese citizens, including elderlies in their 60's and 70's as well as kids as young as 6's to 16's selling lottery tickets on the streets to survive on $2-3 per day. Even Phạm Nhật Vượng the richest man in Vietnam (via his VinGroup) made the bulk of his wealth mainly by colluding with the barbarian Vietnamese Commie regime in selling their robbed-lands from Vietnamese citizens. Travelers to Vietnam in her current form (not at all like this before the Communists took over) should keep this in mind. Behind the beauty of the land and smiling faces at popular tourist destinations, there are a lot of darkness and tears, bloods, sweats, sorrow, horror, and sufferings all over the country.",
@Motc117,"Bro thinks sabotaging the country by English and I won’t notice. I know who you are, stop distorting. You set a evil rule to the South, let the US and the allies killed many people, that’s why they established their own army to fight back you. Sai Gon now is more developed than in your time. Your words cannot make anybody be “enlightened”. Let you rule the country again will make Vietnam can only compare to Burundi.",@thethaovatoquoc312
@Epitin,CORRECTION: The life expectancy rising from 60 to 73 is not just thanks to better living standards.  The US caused this low rate and we know why. 🔫💣,
@leehnguyen7427,"Seeing that the city shell is beautiful on the outside but rotten on the inside. Successful Vietnamese communist refugees abroad pour money into Vietnam to invest in the hope of change, but in reality, nothing changes because of a corrupt, dictatorial, hammer-and-sickle communism with a backward system.",
@長谷川洋子-q2k,上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはんくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなあたまがたみよくないばかそくばく卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時,
@長谷川洋子-q2k,上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはんくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなあたまがたみよくないばかそくばく卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時,
@長谷川洋子-q2k,上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはんくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなあたまがたみよくないばかそくばく卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時,
@長谷川洋子-q2k,上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也上田竜也朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはん朝ごはんくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなくなあたまがたみよくないばかそくばく卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時卒業時,
@長谷川洋子-q2k,421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757,
@長谷川洋子-q2k,4212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757421275742127574212757,
@SimarDesign,"But is that a good thing? Look at Japan, south Korea, these are sad countries. No values, just greed.",
@jielizi9496,越南是共产主义嘛，估计很难掉入日本韩国的k型陷阱。,@SimarDesign
@gametri-eq6lj,Vietnam has received investment from those countries Vietnam may look like a booming powerhouse but in reality it’s foreign countries that own everything in vietnam,@SimarDesign
@BinhPhan-qv3ti,@@gametri-eq6lj thực tế nào vậy? Tây con,@SimarDesign
@gametri-eq6lj,@@BinhPhan-qv3ti the u.s is the biggest investor and it’s using Vietnam as a import hub opposed to China that’s falling apart as of now like China Vietnam has very few major brands that export globally and heavily rely on their ability to manufacture,@SimarDesign
@hilwaamanamankiyar-pp5bf,BDCHSM,
@drewsimple21,"I don't understand why everyone keeps competing to be the richest and most developed country. Such a life will be an endless race and not very good. Instead, we should help each other build a world without war and poverty. Honestly, I don't care much about economic indicators, growth, or average income. I just hope that everyone can live healthy, happy, and joyful lives. 
-- I'm from Viet Nam with love!",
@processv,❤❤❤😂😂😂,@drewsimple21
@kingofbithynia,Arkas that’s a Turkish ship,
@mazeguet2966,"I am Japanese, but whenever I go to Vietnam, I am overwhelmed by the number of young people. Japan has a low birth rate and an aging population, so there is no growth potential, but Vietnam seems to be full of potential.",
@gametri-eq6lj,full of potential to be ruled by foreign investment,@mazeguet2966
@duonghoang4700,"hi im from vietnamese
I love japan anime you county

Vietnamese young people, high school students and elementary school students, watch anime a lot❤",@mazeguet2966
@duonghoang4700,"My favorite 
Anime 
:naruto-kimitsu no yaiba-dragonball-tenseislime-overlord .
And morre another anime my favorite but i don’t know English name 
Because my app bilibili don’t have English",@mazeguet2966
@duonghoang4700,Also i favorite hentai 👉👌,@mazeguet2966
@deonnguyen8615,"As a Vietnamese, no",
@ALIBABA3578-p2u,umm the thi may ngu nhe,@deonnguyen8615
@hilwaamanamankiyar-pp5bf,BDHSM,
@Life-In-VN,Vietnam is full of scams.,
@ALIBABA3578-p2u,real ,@Life-In-VN
@minhng7208,"14. Dead wrong, minority peoples have more privileges in Vietnam because they tend to live in less developped areas. I did not have credits to Uni, they had. We have personal freedom, like any Western country, except it is safer to live in Vietnam than in the West. I lived in a Western country over 20 years.",
@ALIBABA3578-p2u,after reading all 3 of your comments im confused,@minhng7208
@minhng7208,"12.00 In the 1970s VN was still at war with the US, it did not have a one child policy.",
@minhng7208,"2.30. Vietnamese and its communist party are one. There are few differences but generally, Vietnamese suport its government and happy with its political system. I am Vietnamese and not a communist party member",
@truong88entertainment,i love you pro,
@Smoothhhh-zb5xs,i’m from vietnam 🤡,
@hoangthinhlx,"Sao không đề cập đến sau 1975. Mỹ không những không bồi thường chiến tranh cho Việt Nam theo hiệp định Paris 1973, Mỹ còn cấm vận Việt Nam thêm 20 năm. Chưa kể Trung Quốc và Polpot liên tục gây hấn với Việt Nam từ 1975 đến 1990. Chúng tôi chỉ thực sự phát triển từ những năm 1990",
@LocHoang-u2x,"Sao khong de cap den Hiep Dinh Paris 1973 ma vit cong da vi pham de cuop chinh quyen o mien nam?
Trung Cong thuc su phat trien tu nam nao vay ha chau ngoan bac Ho?",@hoangthinhlx
@leehnguyen7427,"Under the backward systematic bribery leadership of the Viet Cong, the communists have LOST education and culture. 
The cities and rivers are foul-smelling and full of garbage, the air is polluted and foul all day long, the food is full of toxins, and medical care is poor. The Viet Cong ARE DREAMING 
I have not mentioned the issue of sports and performing arts.",
@leehnguyen7427,"Cờ vàng biểu tượng cho dân chủ tự do, cờ đỏ là xã hội chủ nghĩa cộng sản búa liềm vơ vét lạc hậu",@leehnguyen7427
@ALIBABA3578-p2u,@@leehnguyen7427 xin lỗi nhưng mà bạn nói nghe giống chó quá mình hơi khó hiểu 😅,@leehnguyen7427
@gametri-eq6lj,Exactly and Vietnam is basically owned by other countries it’s has no major corporations and the wealthy all bring their money to foreign countries,@leehnguyen7427
@nguyenquancong,Nghe mùi giống c hó /// thế 😂,@leehnguyen7427
@Thailand-l6y,Poor vietnam 😂,
@anhlam7131,Thai still mad and jealous  that VinFast electric cars is being sold in Thailand😊,@Thailand-l6y
@cityhue517,"Bài phân tích hay. 
Cơ hội của Vietnam + tiềm năng con người, rất có khã năng để Vietnam trở thành nước giàu.
Tuy nhiên những vấn đề âm ỉ như giá bất động sản liên tục tăng cao, người lao động thường phải trả 200 đến 400 triệu vnd tăng thêm cho giới đầu cơ bds, những người lao động tạo ra của cải cho xã hội lại phải nuôi không một nhóm nhỏ không tạo ra giá trị gì cho xã hội. nếu không giải quyết sớm thì có thể là khối ung thư phá vỡ sự ổn định. Áp lực kinh tế làm giới trẻ lười lập gia đình, lười sinh con,.....
Thu hút FDI là tốt nhưng khuyến khích khởi nghiệp và hỗ trợ các công ty có tiềm năng trong nước, phát triển và nắm giữ một hoặc nhiều công nghệ lõi mới giúp đất nước thăng hoa và có giá trị ổn định trong thị trường toàn cầu",
@LocHoang-u2x,"Ngay nao ma con cai dang cuop cong san vit cong tham nhung ngoi tren dau tren co nguoi dan Vit Nam thi cho du nguoi dan Vit Nam co cham chi lam viec, co tai gioi den co nao thi ngay do nguoi dan Vit Nam se mai mai phai song ngheo doi boi vi dang cuop cong san se an cuop het tat ca cua cai ma nguoi lao dong tao ra.
Song co the can, nui co the mon, nhung cai logic tren se khong bao gio thay doi ngay nao ma nguoi dan Vit Nam van tho o vo cam mac ke cho dang cuop cong san cuop chinh quyen, cuop cua cai, cuop dat dai cua nguoi dan Vit Nam.",@cityhue517
@processv,❤❤❤❤❤,@cityhue517
@processv,❤❤❤❤,@cityhue517
@realSonNguyen,"Mình luôn đồng ý với bạn về phần bất động sản. Một trong những nhu cầu cơ bản của con người lại phải chịu sự tăng giá phi mã - trong khi việc tăng giá đó không hề tạo ra một giá trị gia tăng nào. Chỉ trong 5 năm giá nhà tại thành phố lớn tăng nhanh tới mức không tưởng, có lẽ không thể quay lại được nữa.",@cityhue517
@VietVuHunzter,"No, at this point the future do not looks very bright for us.",
@李铭儒,希望越南的同志们成功🎉一起建设社会主义事业,
@anhky5339,Cảm ơn đồng chí china mong 2 nước đoàn kết cùng nhau phát triển hòa bình ổn định tôn trọng lẫn nhau..chúc sức khỏe...,@李铭儒
@hoaivinh6258,"The most serious problem that Vietnam is dealing with at the moment is Corruption, in the last 2 years, some of the most biggest corruption cases with total value of more than 100 billions USD, has been revealed and charge. these cases seriously affect slow down the development speed of Vietnam. Actually, the good news is the government is actually going a biggest cleasing of corruption ever called ""burning furnace"". I hope everything will change for the better and VN could actually reach full potential",
@LocHoang-u2x,Where did your communist To Lam get the money to eat beefsteaks at an extremely expensive restaurant in London during the Covid 19 pandemic?  Did he steal the money from hard-working Vietnamese people?,@hoaivinh6258
@processv,❤❤❤,@hoaivinh6258
@DinhQuy-oc7su,Thanks for great analysis. We Vietnamese generation 25~40 are ready to take the leap and make our country financially and diplomatically better!,
@mrconfusion87,The Economic War is the Vietnamese Millennials' biggest battle!,@DinhQuy-oc7su
@processv,❤❤❤,@DinhQuy-oc7su
@leehnguyen7427,"Under the backward systematic bribery leadership of the Viet Cong, the communists have LOST education and culture. 
The cities and rivers are foul-smelling and full of garbage, the air is polluted and foul all day long, the food is full of toxins, and medical care is poor. The Viet Cong ARE DREAMING",
@leehnguyen7427,I have not mentioned the issue of sports and performing arts.,@leehnguyen7427
@leehnguyen7427,"Cờ vàng biểu tượng cho dân chủ tự do, cờ đỏ là xã hội chủ nghĩa cộng sản búa liềm vơ vét lạc hậu",@leehnguyen7427
@ALIBABA3578-p2u,"bro you have lost the war for decades you are the dreamer. You guys aint getting your ""country"" back 😭😭",@leehnguyen7427
@ALIBABA3578-p2u,oh i forget to mention that eating mcdonald all day seems healthy indeed huh ?,@leehnguyen7427
@leehnguyen7427,"@@ALIBABA3578-p2u Seeing that the city shell is beautiful on the outside but rotten on the inside. Successful Vietnamese communist refugees abroad pour money into Vietnam to invest in the hope of change, but in reality, nothing changes because of a corrupt, dictatorial, hammer-and-sickle communism with a backward system.",@leehnguyen7427
@georgep7082,"Vietnam will never be good under the communists, they are the betrayers of the Vietnamese people. Throughout Vietnam history, there countless traitors who sold out to foreign invaders, but none is as bad as today Vietnamese communists.",
@ALIBABA3578-p2u,fun fact : the traitors follow capitalism,@georgep7082
@gametri-eq6lj,yups the wealthy ran away with the money Vietnam is only doing this well because of foreign investment soon Vietnam will be owned by other countries,@georgep7082
@nguyenquancong,🐶 /// đang khát nước,@georgep7082
@vallonchanlaw7244,"I think Vietnam is more open and freer than some east Asia nations, it may reform and turn to a liberal, democratic country after it becomes rich.",
@Zedta,"saying ""one child policy"" when it's not even limiting to one child is about as lazy journalism as it get...",
@RolandJCD618,I moved to Vietnam and I hereby attest its fast growth.,
@angkhoanguyen6114,"Too bad, Vietnam will grow stronger.",@RolandJCD618
@processv,❤❤❤❤😂😂😂,@RolandJCD618
@HAN_DAN_BO,Tuyên truyền lừa đảo,
@ALIBABA3578-p2u,xin chào người chưa đặt chân lên Việt Nam quá 10 năm,@HAN_DAN_BO
@Danial-x3k,"Workers work their butts off and get about two hundred USD a month 
communist party members got about two thousand USD in a month for doing nothing .
Communist getting rich, not ordinary people 
Got it. ?",
@persieprince9345,"They are in the right path to reach their potential 
Love Vietnam from Morocco, Soon i
 will visit phu quoc 
🇲🇦🇻🇳",
@Peanut_butterYeY,"I have been to phu quoc, definitely should go ;)",@persieprince9345
@MaiNguyenNgocHan-tg6od,"Our pleasure 😅
Oh btw your journey in World Cup 22 is slick, congratulations for that😅",@persieprince9345
@thanhtuunguyen9332,hope you will visit Con Dao and Cat Ba island,@persieprince9345
@2asek,Welcome habibi ;),@persieprince9345
@duylai2224,Welcome,@persieprince9345
@Monstacheeks,May the Buddha Bless Vietnam!,
@tranngocminh269,"By copying the model of China and being  depend on the supply from China but playing double faces with the big brother because of anti Chinese sentiment, corruption system and mentality, super strong sense nationalism, inequality,  pollution, aging population, etc. Vietnam should be rich soon to deal with such problems",
@huutho1408,I’m from Vietnam. Love my country🇻🇳,
@Thailand-l6y,Poor,@huutho1408
@AnhDao2412,"@@Thailand-l6y Thái Lan rất giàu có, đặc biệt là gái mại dâm ở Phu-khet, Pattaya,.. ma túy được mua bán tự do, đảo chính xảy ra liên miên,... Thái Lan là một nước dân chủ nên không được xúc phạm đén nhà vua, nếu không sẽ bị bỏ tù.",@huutho1408
@huutho1408,"@@AnhDao2412cám ơn bác, mình ưng comment của bác lắm❤",@huutho1408
@penguin5989,@@Thailand-l6y Cambodian spy ?,@huutho1408
@processv,❤❤❤,@huutho1408
@sentotalkacili7407,"The victory of the Vietnamese people over America in the Vietnam War is the capital of the Vietnamese people's mentality. only 20 years of the Taliban-Afghanistan war and 18 years of the Vietnam communist war which steadfastly and patiently fought for a long time against the United States, and won it. they succeeded in driving out the United States. they are tough people who endured the long suffering of war. The nation that once defeated the United States is a nation that should not be underestimated. they are a strong nation.

they are hardworking and ambitious. as a citizen of one of the ASEAN countries, I see Vietnam in how they build their football power. In the last 15 years, no one would have thought that their football strength could become what it is today, becoming the best in ASEAN. Even Vietnamese football is better than Chinese. they are known to be more ambitious than other ASEAN countries. 

Their communist country is known to be more stable than democracies like Indonesia or the Philippines. Communists are also atheists who do not belong to the world's major religious factions. they are neutral, there are no food restrictions, no religious holidays, no time for worship, no discussion of afterlife, and focus on developing the interests of world life, the economy and human welfare.",
@gametri-eq6lj,yet they don’t have any major brands and depend on foreign investment the rich won’t invest back in Vietnam,@sentotalkacili7407
